school,encoded_field_sum,end_year,user_month,video_count,exercise_count,chapter_count,user_past_course_count,user_time_since_last_course,num_prerequisites,certificate,assignment,video,exam,duration_days,remaining_time,combined_emb_0,combined_emb_1,combined_emb_2,combined_emb_3,combined_emb_4,combined_emb_5,combined_emb_6,combined_emb_7,combined_emb_8,combined_emb_9,combined_emb_10,combined_emb_11,combined_emb_12,combined_emb_13,combined_emb_14,combined_emb_15,entropy_time_comment_phase1,exercise_id_count_1,exercise_correct_sum_1,exercise_correct_mean_1,exercise_num_problem_sum_1,exercise_attempts_sum_mean_1,exercise_context_sum_1,exercise_langugage_binary_mean_1,exercise_diff_mean_1,exercise_perc_real_completed_mean_1,exercise_perc_real_score_mean_1,exercise_hour_entropy_1,video_watched_percentage_1,video_percentage_watch_time_1,video_pause_count_1,video_time_between_views_std_1,video_speed_avg_1,total_words_phase1,total_positive1,total_negative1,total_neutral1
4.0,66,2020.0,3.0,20,14,8,0,0.0,2,1.0,55.0,10.0,35.0,111.0,48,-1.7417552,-2.847579,0.54970556,2.8519096,0.8651135,0.2406432,8.092618,-3.2804382,-0.25510645,4.0766206,-2.1970038,0.63365763,2.1951227,-2.3805008,-2.7381988,1.5319057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422.0,112,2020.0,1.0,99,12,14,1,1560.0,0,1.0,80.0,20.0,0.0,169.0,44,-1.4600586,0.5244784,1.6518016,-1.3632374,3.6175046,1.8539594,5.7488446,-3.5412278,0.9565856,2.2368488,-2.842582,-0.97441494,-2.7547116,-1.4264195,-2.0297437,-1.9492326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,31,2019.0,10.0,61,44,8,0,0.0,0,1.0,60.0,40.0,0.0,82.0,59,0.7957133,1.8801718,0.7559485,-0.39556286,-0.74688685,1.6540034,5.217311,-2.1982822,-0.6702807,-0.536473,-0.3867778,3.6152673,-1.0897287,-0.45242196,-0.089903586,-1.2854912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3.0,0.0,1.0
422.0,112,2020.0,2.0,99,12,14,1,1344.0,0,1.0,80.0,20.0,0.0,169.0,4,-1.4993608,0.46194738,1.6378622,-1.3713559,3.6507926,1.9214797,5.674126,-3.5623646,0.94396424,2.3385735,-2.8427987,-0.9941998,-2.7085948,-1.4948905,-2.1230378,-2.0473633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
28.0,31,2019.0,10.0,61,44,8,0,0.0,0,1.0,60.0,40.0,0.0,82.0,50,0.8046917,1.9358377,0.72230506,-0.41007224,-0.6847219,1.7210748,5.1982603,-2.1912699,-0.7190734,-0.5722481,-0.37553784,3.5872195,-1.0982403,-0.43788195,-0.08350328,-1.3257397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.12295601,-5.373232,2.8493252,-2.1641004,0.26238754,2.0024743,2.6484828,-0.14941618,-2.8535404,-2.3377523,-3.3481903,4.494058,2.1789513,-1.8237164,1.0367117,-0.6343158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.14664568,-5.2195854,2.7647777,-2.050053,0.3070651,1.946753,2.7311678,-0.30392158,-2.9214118,-2.4093647,-3.3094196,4.584569,2.1386058,-1.8255643,1.0418794,-0.5795149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,104,0.18325588,-5.270789,2.788063,-2.1534023,0.29739824,2.0323806,2.6493359,-0.287468,-2.9700842,-2.3803267,-3.3869357,4.549528,2.1808484,-1.909258,1.0956745,-0.5861689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,66,2020.0,3.0,15,15,15,0,0.0,0,1.0,100.0,0.0,0.0,195.0,103,0.26350102,-5.307892,2.8264816,-2.0848517,0.28716356,1.980439,2.63792,-0.19005033,-2.8351016,-2.2563648,-3.3770576,4.540218,2.2422924,-1.8312207,1.1477656,-0.66934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,1.0
345.0,66,2020.0,5.0,15,15,15,1,1560.0,0,1.0,100.0,0.0,0.0,195.0,39,0.3071348,-5.4004917,2.6111507,-2.1651452,-0.15184271,1.97718,2.3515801,-0.21356311,-3.1879656,-1.9347636,-2.8063536,4.9308267,2.0991714,-1.1350669,0.9083583,-0.8652853,1.5498260458782016,13.0,56.0,4.307692307692308,91.0,7.0,12.0,0.0,0.0275213675213674,1.0,0.4619764850534081,1.84462,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,6.0
