user_id,school,course_id,field_encoded_1,field_encoded_2,start_year,start_month,end_year,end_month,user_year,user_month,video_count,exercise_count,chapter_count,user_past_course_count,user_time_since_last_course,num_prerequisites,certificate,assignment,video,exam,type,duration_days,remaining_time,entropy_time_comment_phase1,exercise_id_count_1,exercise_correct_sum_1,exercise_correct_mean_1,exercise_num_problem_sum_1,exercise_num_problem_mean_1,exercise_attempts_sum_mean_1,exercise_attempts_mean_mean_1,exercise_date_from_enroll_min_1,exercise_date_from_enroll_mean_1,exercise_date_from_enroll_max_1,exercise_context_sum_1,exercise_context_mean_1,exercise_langugage_binary_mean_1,exercise_diff_sum_1,exercise_diff_mean_1,exercise_diff_min_1,exercise_diff_max_1,exercise_perc_goal_score_mean_1,exercise_perc_real_completed_mean_1,exercise_perc_real_completed_std_1,exercise_perc_real_correct_mean_1,exercise_perc_real_correct_std_1,exercise_perc_real_score_sum_1,exercise_perc_real_score_mean_1,exercise_perc_real_score_std_1,exercise_hour_entropy_1,video_watch_count_1,video_watched_percentage_1,video_percentage_watch_time_1,video_pause_count_1,video_pause_avg_1,video_pause_std_1,video_rewatch_avg_1,video_rewatch_std_1,video_time_between_views_avg_1,video_time_between_views_std_1,video_speed_avg_1,entropy_time_1,total_words_phase1,total_positive1,total_negative1,total_neutral1,total_score,label,label_encoded
U_1000979,云南大学,C_947149,38,36,2019.0,12.0,2020.0,4.0,2020.0,3.0,20,14,8,0,0.0,2,1.0,55.0,10.0,35.0,1.0,111.0,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,D,1
U_1001176,云南大学,C_947149,38,36,2019.0,12.0,2020.0,4.0,2020.0,3.0,20,14,8,0,0.0,2,1.0,55.0,10.0,35.0,1.0,111.0,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.77289377289378,D,1
U_10035349,南开大学,C_707456,38,36,2019.0,8.0,2020.0,2.0,2020.0,1.0,99,12,14,1,1560.0,0,1.0,80.0,20.0,0.0,1.0,169.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.386554621848736,E,0
U_1004792,昆明理工大学,C_735164,13,0,2019.0,9.0,2019.0,12.0,2019.0,10.0,61,44,8,0,0.0,0,1.0,60.0,40.0,0.0,1.0,82.0,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0,3.0,0.0,1.0,23.77272727272727,E,0
U_10060293,南开大学,C_707456,38,36,2019.0,8.0,2020.0,2.0,2020.0,2.0,99,12,14,1,1344.0,0,1.0,80.0,20.0,0.0,1.0,169.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.661064425770304,E,0
U_10069480,南开大学,C_707456,38,36,2019.0,8.0,2020.0,2.0,2020.0,1.0,99,12,14,2,1200.0,0,1.0,80.0,20.0,0.0,1.0,169.0,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.246498599439776,E,0
U_10072834,中南财经政法大学,C_947260,38,36,2019.0,12.0,2020.0,3.0,2020.0,2.0,44,21,9,0,0.0,1,1.0,40.0,60.0,0.0,1.0,92.0,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.59183673469388,E,0
U_1008086,昆明理工大学,C_735164,13,0,2019.0,9.0,2019.0,12.0,2019.0,10.0,61,44,8,0,0.0,0,1.0,60.0,40.0,0.0,1.0,82.0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,10.909090909090908,E,0
U_10134100,,C_756690,38,36,2019.0,9.0,2020.0,1.0,2019.0,9.0,131,11,13,0,0.0,1,1.0,50.0,50.0,0.0,1.0,152.0,129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,E,0
U_10139819,北华航天工业学院,C_786631,38,36,2019.0,9.0,2019.0,12.0,2019.0,12.0,34,33,5,0,0.0,2,1.0,75.0,25.0,0.0,1.0,106.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.71158008658008,D,1
U_10170061,安徽工程大学,C_948282,38,36,2019.0,12.0,2020.0,4.0,2020.0,2.0,31,27,8,0,0.0,2,1.0,55.0,45.0,0.0,1.0,121.0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.53306878306879,D,1
U_10170072,安徽工程大学,C_948282,38,36,2019.0,12.0,2020.0,4.0,2020.0,1.0,31,27,8,0,0.0,2,1.0,55.0,45.0,0.0,1.0,121.0,91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,0.0,4.0,27.78858024691358,E,0
U_10170744,,C_697076,38,36,2019.0,9.0,2020.0,1.0,2019.0,10.0,63,49,12,0,0.0,0,1.0,70.0,30.0,0.0,1.0,121.0,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.791383219954648,E,0
